VName,Filter,HJD,mag_s,mag_i,e_mag_i,Fref,e_Fref,DFlux,e_DFlux,p
"V3 ",I,2456161.80164,14.304,14.474,0.004,1.064858E7,13005.0,6129.005,73170.0,1.0962
"V3 ",I,2456161.80516,14.319,14.488,0.004,1.064858E7,13005.0,6262.405,74310.0,1.1648
"V3 ",I,2456161.80626,14.318,14.488,0.004,1.064858E7,13005.0,8994.815,86420.0,1.6713
"V3 ",I,2456161.80969,14.324,14.493,0.003,1.064858E7,13005.0,9294.88,88255.0,1.7538
"V3 ",I,2456161.8108,14.328,14.498,0.003,1.064858E7,13005.0,9713.58,90625.0,1.856
"V3 ",I,2456161.81423,14.323,14.492,0.004,1.064858E7,13005.0,8445.06,85020.0,1.5884
"V3 ",I,2456161.81533,14.329,14.499,0.003,1.064858E7,13005.0,13570.38,104905.0,2.6009
"V3 ",I,2456161.81936,14.33,14.499,0.003,1.064858E7,13005.0,16191.655,115035.0,3.1057
"V3 ",I,2456161.82046,14.328,14.497,0.003,1.064858E7,13005.0,15405.82,111955.0,2.9365
"V3 ",I,2456161.82401,14.336,14.506,0.003,1.064858E7,13005.0,15581.88,113925.0,3.0438
"V3 ",I,2456161.82512,14.339,14.508,0.003,1.064858E7,13005.0,12271.685,103295.0,2.4146
"V3 ",I,2456161.82862,14.343,14.512,0.003,1.064858E7,13005.0,12311.435,104215.0,2.4507
"V3 ",I,2456161.82972,14.341,14.51,0.003,1.064858E7,13005.0,9966.02,94640.0,1.9733
"V3 ",I,2456161.83325,14.344,14.513,0.003,1.064858E7,13005.0,13309.775,107360.0,2.6594
"V3 ",I,2456161.83436,14.348,14.517,0.003,1.064858E7,13005.0,9343.435,93320.0,1.8883
"V3 ",I,2456161.83792,14.353,14.523,0.006,1.064858E7,13005.0,4299.56,71035.0,0.8828
"V3 ",I,2456161.83901,14.353,14.522,0.004,1.064858E7,13005.0,6988.41,84045.0,1.4325
"V3 ",I,2456161.84247,14.354,14.523,0.007,1.064858E7,13005.0,2952.915,64035.0,0.607
"V3 ",I,2456161.84357,14.351,14.52,0.008,1.064858E7,13005.0,2894.63,63770.0,0.5901
"V3 ",I,2456161.8484,14.383,14.552,0.008,1.064858E7,13005.0,2484.215,64970.0,0.5572
"V3 ",I,2456161.84984,14.352,14.521,0.009,1.064858E7,13005.0,2570.275,64745.0,0.5254
"V3 ",I,2456161.8551,14.42,14.59,0.039,1.064858E7,13005.0,334.835,45030.0,0.085
"V3 ",I,2456161.85655,14.4,14.569,0.031,1.064858E7,13005.0,502.635,51150.0,0.1191
"V3 ",I,2456168.73331,14.249,14.418,0.004,1.064858E7,13005.0,15290.135,131725.0,2.3729
"V3 ",I,2456168.73556,14.251,14.42,0.005,1.064858E7,13005.0,10689.97,132980.0,1.6691
"V3 ",I,2456168.73828,14.254,14.423,0.005,1.064858E7,13005.0,10739.575,131705.0,1.6871
"V3 ",I,2456168.74752,14.276,14.446,0.004,1.064858E7,13005.0,11443.655,126210.0,1.903
"V3 ",I,2456168.74827,14.285,14.454,0.004,1.064858E7,13005.0,11473.89,122850.0,1.9483
"V3 ",I,2456168.75101,14.299,14.468,0.007,1.064858E7,13005.0,8579.785,156790.0,1.5117
"V3 ",I,2456168.75178,14.288,14.457,0.007,1.064858E7,13005.0,8492.125,160150.0,1.4548
"V3 ",I,2456168.75452,14.291,14.46,0.005,1.064858E7,13005.0,10035.03,138225.0,1.7314
"V3 ",I,2456168.75528,14.287,14.456,0.006,1.064858E7,13005.0,9493.445,142735.0,1.6228
"V3 ",I,2456168.75802,14.284,14.453,0.005,1.064858E7,13005.0,10680.35,131400.0,1.8103
"V3 ",I,2456168.75877,14.298,14.467,0.005,1.064858E7,13005.0,10316.41,132745.0,1.8136
"V3 ",I,2456168.76154,14.3,14.47,0.005,1.064858E7,13005.0,10054.715,137940.0,1.7805
"V3 ",I,2456168.76229,14.306,14.475,0.011,1.064858E7,13005.0,6088.62,176445.0,1.0938
"V3 ",I,2456168.76503,14.302,14.471,0.006,1.064858E7,13005.0,9275.98,137380.0,1.6492
"V3 ",I,2456168.76579,14.304,14.473,0.005,1.064858E7,13005.0,9281.85,135455.0,1.6572
"V3 ",I,2456168.76853,14.33,14.499,0.007,1.064858E7,13005.0,7647.0,146130.0,1.4667
"V3 ",I,2456168.76929,14.312,14.482,0.007,1.064858E7,13005.0,7898.23,146110.0,1.4444
"V3 ",I,2456168.77203,14.316,14.485,0.009,1.064858E7,13005.0,6909.92,160635.0,1.2763
"V3 ",I,2456168.77279,14.305,14.474,0.006,1.064858E7,13005.0,8635.97,141110.0,1.5482
"V3 ",I,2456168.77555,14.316,14.485,0.007,1.064858E7,13005.0,7669.735,147375.0,1.4146
"V3 ",I,2456168.77631,14.327,14.497,0.007,1.064858E7,13005.0,7402.79,148760.0,1.4104
"V3 ",I,2456168.77906,14.322,14.491,0.007,1.064858E7,13005.0,8000.43,148385.0,1.502
"V3 ",I,2456168.77981,14.331,14.501,0.006,1.064858E7,13005.0,8226.105,142760.0,1.5851
"V3 ",I,2456168.78256,14.337,14.507,0.005,1.064858E7,13005.0,9054.9,135915.0,1.7742
"V3 ",I,2456168.78332,14.334,14.503,0.005,1.064858E7,13005.0,9651.3,132470.0,1.8711
"V3 ",I,2456168.78606,14.34,14.509,0.005,1.064858E7,13005.0,9710.63,130805.0,1.9156
"V3 ",I,2456168.78681,14.335,14.505,0.005,1.064858E7,13005.0,9441.61,134825.0,1.8392
"V3 ",I,2456168.78958,14.334,14.503,0.005,1.064858E7,13005.0,10268.675,129475.0,1.9912
"V3 ",I,2456168.79033,14.339,14.509,0.005,1.064858E7,13005.0,10054.37,127380.0,1.982
"V3 ",I,2456168.79308,14.349,14.518,0.005,1.064858E7,13005.0,9903.675,128875.0,2.0042
"V3 ",I,2456168.79383,14.338,14.507,0.004,1.064858E7,13005.0,10202.635,123445.0,2.0038
"V3 ",I,2456168.79658,14.348,14.517,0.005,1.064858E7,13005.0,9262.14,137125.0,1.8717
"V3 ",I,2456168.79734,14.351,14.52,0.005,1.064858E7,13005.0,9060.725,140050.0,1.8447
"V3 ",I,2456168.80008,14.351,14.521,0.005,1.064858E7,13005.0,8882.87,136930.0,1.8124
"V3 ",I,2456168.80083,14.354,14.523,0.005,1.064858E7,13005.0,8912.57,136795.0,1.8311
"V3 ",I,2456168.8036,14.352,14.521,0.005,1.064858E7,13005.0,9706.53,128815.0,1.9816
"V3 ",I,2456168.80435,14.358,14.527,0.005,1.064858E7,13005.0,9618.695,127565.0,1.9998
"V3 ",I,2456168.8071,14.359,14.528,0.004,1.064858E7,13005.0,9682.665,125475.0,2.0198
"V3 ",I,2456168.80786,14.361,14.531,0.004,1.064858E7,13005.0,9611.86,125470.0,2.0192
"V3 ",I,2456168.8106,14.355,14.525,0.004,1.064858E7,13005.0,9769.56,125340.0,2.0179
"V3 ",I,2456168.81136,14.364,14.534,0.004,1.064858E7,13005.0,9509.66,125720.0,2.0174
"V3 ",I,2456168.8141,14.356,14.525,0.005,1.064858E7,13005.0,9733.885,128015.0,2.0113
"V3 ",I,2456168.81485,14.362,14.532,0.005,1.064858E7,13005.0,9552.525,128330.0,2.013
"V3 ",I,2456168.81761,14.363,14.532,0.005,1.064858E7,13005.0,9502.54,127865.0,2.0075
"V3 ",I,2456168.81837,14.368,14.537,0.005,1.064858E7,13005.0,9348.855,128570.0,2.0044
"V3 ",I,2456168.82111,14.373,14.543,0.005,1.064858E7,13005.0,9133.6,127660.0,1.9893
"V3 ",I,2456168.82187,14.36,14.53,0.004,1.064858E7,13005.0,9486.06,125150.0,1.987
"V3 ",I,2456168.82461,14.378,14.548,0.005,1.064858E7,13005.0,8613.905,126310.0,1.9071
"V3 ",I,2456168.82537,14.38,14.55,0.005,1.064858E7,13005.0,8253.505,125800.0,1.8379
"V3 ",I,2456168.82811,14.377,14.546,0.007,1.064858E7,13005.0,6795.455,139630.0,1.4981
"V3 ",I,2456168.82887,14.372,14.541,0.008,1.064858E7,13005.0,5918.4,146615.0,1.283
"V3 ",I,2456168.83163,14.391,14.561,0.01,1.064858E7,13005.0,4748.34,157195.0,1.0949
"V3 ",I,2456168.83239,14.38,14.55,0.009,1.064858E7,13005.0,5623.295,149480.0,1.252
"V3 ",I,2456168.83513,14.395,14.564,0.01,1.064858E7,13005.0,4796.395,155335.0,1.1189
"V3 ",I,2456168.83589,14.399,14.569,0.008,1.064858E7,13005.0,5451.125,147355.0,1.289
"V3 ",I,2456168.83863,14.403,14.573,0.009,1.064858E7,13005.0,4957.81,149735.0,1.1878
"V3 ",I,2456168.83939,14.394,14.563,0.006,1.064858E7,13005.0,7314.79,140665.0,1.6983
"V3 ",I,2456168.84213,14.374,14.543,0.009,1.064858E7,13005.0,5645.08,156060.0,1.232
"V3 ",I,2456168.84289,14.395,14.565,0.008,1.064858E7,13005.0,6069.13,147730.0,1.4168
"V3 ",I,2456168.84565,14.405,14.575,0.005,1.064858E7,13005.0,7903.245,124505.0,1.9049
"V3 ",I,2456168.84641,14.407,14.576,0.006,1.064858E7,13005.0,7259.53,134540.0,1.7605
"V3 ",I,2456168.85714,14.431,14.6,0.006,1.064858E7,13005.0,6680.065,133065.0,1.7568
"V3 ",I,2456168.8579,14.431,14.601,0.007,1.064858E7,13005.0,6232.365,140715.0,1.6415
"V3 ",I,2456168.86065,14.432,14.602,0.005,1.064858E7,13005.0,7277.14,119555.0,1.924
"V3 ",I,2456168.86141,14.427,14.597,0.005,1.064858E7,13005.0,7339.75,116805.0,1.9079
"V3 ",I,2456190.75763,14.671,14.841,0.004,1.064858E7,13005.0,1797.475,81385.0,1.9353
"V3 ",I,2456190.76112,14.686,14.856,0.004,1.064858E7,13005.0,1483.77,81245.0,1.9168
"V3 ",I,2456190.76186,14.674,14.843,0.004,1.064858E7,13005.0,1737.24,81385.0,1.9221
"V3 ",I,2456190.7646,14.674,14.844,0.004,1.064858E7,13005.0,1709.76,79945.0,1.9124
"V3 ",I,2456190.76535,14.679,14.849,0.004,1.064858E7,13005.0,1634.135,78725.0,1.9312
"V3 ",I,2456190.76809,14.682,14.852,0.004,1.064858E7,13005.0,1550.465,78935.0,1.9172
"V3 ",I,2456190.76883,14.67,14.84,0.004,1.064858E7,13005.0,1816.29,79515.0,1.9319
"V3 ",I,2456190.77156,14.671,14.841,0.004,1.064858E7,13005.0,1784.3,79630.0,1.9118
"V3 ",I,2456190.77231,14.678,14.848,0.004,1.064858E7,13005.0,1639.64,79135.0,1.9141
"V3 ",I,2456190.7781,14.682,14.852,0.004,1.064858E7,13005.0,1559.28,80930.0,1.9126
"V3 ",I,2456190.77885,14.68,14.85,0.004,1.064858E7,13005.0,1584.535,81355.0,1.9093
"V3 ",I,2456190.78158,14.681,14.851,0.004,1.064858E7,13005.0,1562.885,80350.0,1.9064
"V3 ",I,2456190.78232,14.678,14.848,0.004,1.064858E7,13005.0,1623.03,81115.0,1.9059
"V3 ",I,2456190.78505,14.684,14.854,0.004,1.064858E7,13005.0,1498.21,79210.0,1.8965
"V3 ",I,2456190.7858,14.675,14.845,0.004,1.064858E7,13005.0,1688.24,80660.0,1.8971
"V3 ",I,2456190.78852,14.685,14.855,0.004,1.064858E7,13005.0,1490.6,84850.0,1.902
"V3 ",I,2456190.78928,14.692,14.862,0.004,1.064858E7,13005.0,1346.48,82790.0,1.8967
"V3 ",I,2456190.79199,14.696,14.866,0.004,1.064858E7,13005.0,1256.58,80695.0,1.8928
"V3 ",I,2456190.79274,14.693,14.863,0.004,1.064858E7,13005.0,1323.265,83315.0,1.8895
"V3 ",I,2456190.79547,14.707,14.877,0.004,1.064858E7,13005.0,1041.52,84390.0,1.8919
"V3 ",I,2456190.79621,14.697,14.867,0.004,1.064858E7,13005.0,1243.7,83325.0,1.8917
"V3 ",I,2456190.79894,14.71,14.88,0.004,1.064858E7,13005.0,978.56,86965.0,1.8887
"V3 ",I,2456190.79969,14.703,14.873,0.004,1.064858E7,13005.0,1114.815,85330.0,1.8875
"V3 ",I,2456190.80241,14.7,14.87,0.004,1.064858E7,13005.0,1174.7,81575.0,1.8827
"V3 ",I,2456190.80316,14.706,14.876,0.004,1.064858E7,13005.0,1059.49,79795.0,1.8771
"V3 ",I,2456190.80588,14.707,14.877,0.004,1.064858E7,13005.0,1032.895,82520.0,1.8781
"V3 ",I,2456190.80663,14.713,14.883,0.004,1.064858E7,13005.0,924.57,82720.0,1.8791
"V3 ",I,2456190.80934,14.715,14.884,0.004,1.064858E7,13005.0,893.03,85195.0,1.8787
"V3 ",I,2456190.81009,14.724,14.893,0.004,1.064858E7,13005.0,720.13,84980.0,1.8778
"V3 ",I,2456190.81283,14.719,14.889,0.005,1.064858E7,13005.0,798.205,86085.0,1.8722
"V3 ",I,2456190.81358,14.711,14.88,0.005,1.064858E7,13005.0,965.48,90425.0,1.8713
"V3 ",I,2456190.8163,14.719,14.889,0.005,1.064858E7,13005.0,803.885,91725.0,1.8654
"V3 ",I,2456190.81705,14.722,14.892,0.006,1.064858E7,13005.0,741.11,113830.0,1.8629
"V3 ",I,2456190.81977,14.739,14.908,0.006,1.064858E7,13005.0,428.685,116375.0,1.8539
"V3 ",I,2456190.82053,14.777,14.947,0.006,1.064858E7,13005.0,-277.46,104035.0,1.8558
"V3 ",I,2456190.82325,14.7,14.869,0.006,1.064858E7,13005.0,1163.26,109810.0,1.8474
"V3 ",I,2456190.824,14.724,14.894,0.005,1.064858E7,13005.0,702.775,99105.0,1.8419
"V3 ",I,2456190.82672,14.755,14.925,0.005,1.064858E7,13005.0,117.69,97170.0,1.8366
"V3 ",I,2456190.82747,14.735,14.905,0.005,1.064858E7,13005.0,490.66,91685.0,1.8282
"V4 ",V,2455779.84508,20.59,19.729,0.12,158900.0,10930.0,-11.095,5125.0,0.3633
"V4 ",V,2455779.84637,20.692,19.831,0.146,158900.0,10930.0,-13.415,4965.0,0.3185
"V4 ",V,2455779.84778,20.386,19.524,0.115,158900.0,10930.0,-1.175,4990.0,0.3066
"V4 ",V,2455779.84919,20.505,19.643,0.141,158900.0,10930.0,-5.53,4910.0,0.276
"V4 ",V,2455779.8506,20.305,19.442,0.097,158900.0,10930.0,2.82,5075.0,0.3424
"V4 ",V,2455779.85201,20.485,19.623,0.124,158900.0,10930.0,-5.48,5005.0,0.3147
"V4 ",V,2455783.92606,19.628,18.763,0.068,158900.0,10930.0,63.68,8135.0,0.4143
"V4 ",V,2455786.88047,20.306,19.444,0.345,158900.0,10930.0,4.815,31770.0,0.6008
"V4 ",V,2455786.88187,19.939,19.075,0.246,158900.0,10930.0,45.39,31825.0,0.6002
"V4 ",V,2455786.8834,20.715,19.854,0.539,158900.0,10930.0,-26.645,33915.0,0.5984
"V4 ",V,2455786.88492,19.743,18.878,0.22,158900.0,10930.0,72.88,33810.0,0.5966
"V4 ",V,2455786.88646,21.702,20.846,1.311,158900.0,10930.0,-67.35,32890.0,0.5958
"V4 ",V,2455786.88798,22.375,21.522,2.506,158900.0,10930.0,-79.58,33650.0,0.5927
"V4 ",V,2455803.74837,20.427,19.565,0.102,158900.0,10930.0,-3.06,4470.0,0.3172
"V4 ",V,2455803.74954,20.396,19.534,0.101,158900.0,10930.0,-1.695,4520.0,0.3172
"V4 ",V,2455803.75083,20.428,19.566,0.103,158900.0,10930.0,-3.1,4500.0,0.3176
"V4 ",V,2455803.75211,20.378,19.516,0.099,158900.0,10930.0,-0.87,4520.0,0.3175
"V4 ",V,2455803.75341,20.331,19.469,0.095,158900.0,10930.0,1.34,4505.0,0.3167
"V4 ",V,2455803.75471,20.261,19.398,0.09,158900.0,10930.0,4.82,4595.0,0.3169
"V4 ",V,2456147.82415,17.478,16.603,0.027,158900.0,10930.0,2121.75,57505.0,0.9978
"V4 ",V,2456147.82598,17.495,16.62,0.03,158900.0,10930.0,2093.87,61670.0,1.0015
"V4 ",V,2456147.8265,17.427,16.551,0.026,158900.0,10930.0,2230.425,56365.0,0.9971
"V4 ",V,2456147.82834,17.416,16.541,0.025,158900.0,10930.0,2260.59,55295.0,0.9999
"V4 ",V,2456147.82887,17.45,16.575,0.025,158900.0,10930.0,2181.135,52915.0,0.9977
"V4 ",V,2456147.83069,17.459,16.583,0.025,158900.0,10930.0,2163.745,53585.0,0.9985
"V4 ",V,2456147.83122,17.437,16.562,0.025,158900.0,10930.0,2205.865,53775.0,0.996
"V4 ",V,2456147.83351,17.494,16.619,0.046,158900.0,10930.0,1040.095,47795.0,0.4972
"V4 ",V,2456147.83392,17.475,16.6,0.04,158900.0,10930.0,1059.655,41460.0,0.497
"V4 ",V,2456147.8354,17.405,16.529,0.037,158900.0,10930.0,1130.385,41650.0,0.4945
"V4 ",V,2456147.8358,17.5,16.625,0.04,158900.0,10930.0,1033.7,41445.0,0.4971
"V4 ",V,2456147.83727,17.444,16.569,0.038,158900.0,10930.0,1091.37,41370.0,0.4963
"V4 ",V,2456147.83768,17.476,16.6,0.042,158900.0,10930.0,1057.775,43540.0,0.4963
"V4 ",V,2456147.83917,17.51,16.635,0.039,158900.0,10930.0,1020.52,39340.0,0.4955
"V4 ",V,2456147.83958,17.406,16.531,0.038,158900.0,10930.0,1129.13,41905.0,0.4945
"V4 ",V,2456147.84106,17.444,16.568,0.036,158900.0,10930.0,1088.16,39245.0,0.4947
"V4 ",V,2456147.84147,17.453,16.578,0.038,158900.0,10930.0,1075.895,40850.0,0.4936
"V4 ",V,2456147.84724,17.456,16.58,0.038,158900.0,10930.0,1068.11,40495.0,0.4913
"V4 ",V,2456147.84764,17.504,16.629,0.041,158900.0,10930.0,1017.865,40965.0,0.4915
"V4 ",V,2456147.84912,17.457,16.582,0.037,158900.0,10930.0,1067.675,38900.0,0.4918
"V4 ",V,2456147.84953,17.526,16.651,0.038,158900.0,10930.0,998.845,37220.0,0.4927
"V4 ",V,2456147.851,17.427,16.552,0.038,158900.0,10930.0,1097.975,40750.0,0.491
"V4 ",V,2456147.85142,17.42,16.544,0.037,158900.0,10930.0,1105.18,40385.0,0.4907
"V4 ",V,2456147.85289,17.415,16.54,0.038,158900.0,10930.0,1109.515,42090.0,0.4903
"V4 ",V,2456147.8533,17.39,16.514,0.034,158900.0,10930.0,1135.575,37725.0,0.4893
"V4 ",V,2456147.85477,17.443,16.568,0.037,158900.0,10930.0,1076.805,38855.0,0.4892
"V4 ",V,2456147.85517,17.473,16.598,0.036,158900.0,10930.0,1048.575,37595.0,0.4908
"V4 ",V,2456147.85664,17.419,16.544,0.034,158900.0,10930.0,1103.67,37405.0,0.4896
"V4 ",V,2456147.85706,17.417,16.542,0.033,158900.0,10930.0,1105.05,36435.0,0.4894
"V4 ",V,2456147.85854,17.395,16.519,0.034,158900.0,10930.0,1126.475,37180.0,0.4878
"V4 ",V,2456147.85895,17.386,16.51,0.034,158900.0,10930.0,1140.405,37820.0,0.4895
"V4 ",V,2456147.86043,17.514,16.639,0.044,158900.0,10930.0,1002.995,43665.0,0.4889
"V4 ",V,2456147.86084,17.405,16.53,0.035,158900.0,10930.0,1111.485,38035.0,0.4864
"V4 ",V,2456147.86231,17.428,16.552,0.034,158900.0,10930.0,1088.06,36595.0,0.4867
"V4 ",V,2456147.86272,17.472,16.597,0.037,158900.0,10930.0,1040.79,38590.0,0.4866
"V4 ",V,2456147.86419,17.406,16.53,0.034,158900.0,10930.0,1109.225,36840.0,0.4855
"V4 ",V,2456147.8646,17.443,16.567,0.037,158900.0,10930.0,1068.225,38645.0,0.4851
"V4 ",V,2456150.85037,19.731,18.866,0.088,158900.0,10930.0,124.14,22880.0,0.9901
"V4 ",V,2456150.85219,20.124,19.26,0.156,158900.0,10930.0,38.455,28230.0,0.9925
"V4 ",V,2456150.85272,19.857,18.992,0.091,158900.0,10930.0,92.895,20895.0,0.9875
"V4 ",V,2456150.85455,19.916,19.052,0.107,158900.0,10930.0,79.525,23220.0,0.987
"V4 ",V,2456150.85508,19.763,18.898,0.092,158900.0,10930.0,115.455,23125.0,0.987
"V4 ",V,2456150.85691,19.722,18.857,0.101,158900.0,10930.0,126.16,26490.0,0.9885
"V4 ",V,2456150.85744,19.75,18.885,0.098,158900.0,10930.0,118.89,24875.0,0.9884
"V4 ",V,2456150.85928,19.81,18.945,0.117,158900.0,10930.0,103.91,28160.0,0.9861
"V4 ",V,2456150.8598,19.988,19.124,0.114,158900.0,10930.0,64.28,23175.0,0.9858
"V4 ",V,2456150.86163,19.699,18.834,0.09,158900.0,10930.0,131.875,23930.0,0.9848
"V4 ",V,2456150.86217,19.886,19.022,0.093,158900.0,10930.0,85.88,20695.0,0.9837
"V4 ",V,2456150.86399,19.836,18.971,0.126,158900.0,10930.0,97.525,29440.0,0.9846
"V4 ",V,2456150.86452,19.705,18.84,0.095,158900.0,10930.0,129.79,24970.0,0.9811
"V4 ",V,2456150.86635,19.964,19.1,0.133,158900.0,10930.0,68.715,27435.0,0.9798
"V4 ",V,2456150.86687,19.769,18.904,0.096,158900.0,10930.0,113.07,23735.0,0.9783
"V4 ",V,2456150.8687,19.945,19.081,0.122,158900.0,10930.0,72.66,25695.0,0.9782
"V4 ",V,2456150.86923,20.045,19.182,0.133,158900.0,10930.0,52.355,25405.0,0.9775
"V4 ",V,2456150.87105,19.885,19.021,0.115,158900.0,10930.0,85.32,25385.0,0.9752
"V4 ",V,2456150.87157,19.717,18.852,0.097,158900.0,10930.0,125.785,25095.0,0.9747
"V4 ",V,2456150.87338,19.869,19.004,0.121,158900.0,10930.0,89.185,27280.0,0.9762
"V4 ",V,2456150.87392,19.98,19.117,0.14,158900.0,10930.0,64.855,28280.0,0.9719
"V4 ",V,2456150.87575,20.031,19.167,0.145,158900.0,10930.0,54.775,27890.0,0.9691
"V4 ",V,2456150.87627,19.874,19.01,0.115,158900.0,10930.0,87.425,25585.0,0.9715
"V4 ",V,2456150.8781,20.098,19.235,0.148,158900.0,10930.0,42.0,26670.0,0.9678
"V4 ",V,2456150.87862,19.884,19.019,0.128,158900.0,10930.0,84.93,28160.0,0.9663
"V4 ",V,2456150.88045,20.113,19.249,0.176,158900.0,10930.0,39.295,31220.0,0.9643
"V4 ",V,2456150.88099,19.902,19.038,0.134,158900.0,10930.0,80.725,28900.0,0.9643
"V4 ",V,2456150.88281,19.846,18.981,0.127,158900.0,10930.0,93.02,28715.0,0.9621
"V4 ",V,2456150.88333,19.979,19.115,0.152,158900.0,10930.0,64.31,30375.0,0.9597
"V4 ",V,2456150.88515,20.245,19.382,0.19,158900.0,10930.0,17.025,29625.0,0.9579
"V4 ",V,2456150.88568,20.693,19.832,0.312,158900.0,10930.0,-40.37,32135.0,0.9577
"V4 ",V,2456150.8875,20.735,19.875,0.444,158900.0,10930.0,-44.425,43730.0,0.9519
"V4 ",V,2456150.88802,20.18,19.317,0.222,158900.0,10930.0,27.28,36585.0,0.9526
"V4 ",V,2456150.88985,20.508,19.646,0.289,158900.0,10930.0,-19.465,35095.0,0.9541
"V4 ",V,2456150.89037,20.122,19.258,0.152,158900.0,10930.0,37.225,26455.0,0.9522
"V4 ",V,2456150.89219,20.384,19.522,0.22,158900.0,10930.0,-3.38,29915.0,0.9481
"V4 ",V,2456150.89272,20.191,19.328,0.196,158900.0,10930.0,25.43,31795.0,0.9466
"V4 ",V,2456150.89454,20.228,19.365,0.205,158900.0,10930.0,19.415,32010.0,0.9431
"V4 ",V,2456151.82022,20.252,19.389,0.101,158900.0,10930.0,16.595,16510.0,0.9984
"V4 ",V,2456151.82075,20.224,19.361,0.102,158900.0,10930.0,21.34,17140.0,1.0028
"V4 ",V,2456151.82311,20.167,19.304,0.098,158900.0,10930.0,31.0,17335.0,1.002
"V4 ",V,2456151.82493,20.109,19.246,0.098,158900.0,10930.0,41.6,18160.0,1.0042
"V4 ",V,2456151.82546,20.122,19.259,0.097,158900.0,10930.0,39.09,17855.0,1.0035
"V4 ",V,2456151.82781,20.227,19.364,0.102,158900.0,10930.0,20.71,16965.0,1.0019
"V4 ",V,2456151.82963,20.195,19.332,0.093,158900.0,10930.0,26.26,15910.0,1.0063
"V4 ",V,2456151.83015,20.216,19.353,0.102,158900.0,10930.0,22.64,17170.0,1.0011
"V4 ",V,2456151.8325,20.089,19.226,0.09,158900.0,10930.0,44.935,16905.0,0.9961
"V4 ",V,2456151.83485,20.3,19.437,0.1,158900.0,10930.0,9.08,15555.0,1.0056
"V4 ",V,2456151.83668,20.294,19.431,0.11,158900.0,10930.0,9.875,17150.0,0.9947
"V4 ",V,2456151.8372,20.317,19.455,0.108,158900.0,10930.0,6.31,16375.0,0.9933
"V4 ",V,2456151.83954,20.411,19.549,0.114,158900.0,10930.0,-7.4,15955.0,1.0017
"V4 ",V,2456151.8419,20.582,19.721,0.14,158900.0,10930.0,-29.365,16610.0,0.9919
"V4 ",V,2456151.84425,20.411,19.549,0.117,158900.0,10930.0,-7.25,16290.0,0.985
"V4 ",V,2456151.8466,20.376,19.514,0.114,158900.0,10930.0,-2.375,16310.0,0.9949
"V4 ",V,2456151.84842,20.396,19.534,0.125,158900.0,10930.0,-5.215,17590.0,0.9872
"V4 ",V,2456151.84895,20.532,19.671,0.132,158900.0,10930.0,-23.305,16325.0,0.9924
"V4 ",V,2456151.85129,20.357,19.495,0.117,158900.0,10930.0,0.355,17010.0,0.9835
"V4 ",V,2456151.85364,20.366,19.504,0.114,158900.0,10930.0,-0.905,16380.0,0.9806
"V4 ",V,2456151.85599,20.585,19.723,0.145,158900.0,10930.0,-29.22,16925.0,0.9782
"V4 ",V,2456151.85834,20.81,19.95,0.194,158900.0,10930.0,-53.15,18385.0,0.9811
"V4 ",V,2456151.86017,20.689,19.828,0.184,158900.0,10930.0,-40.8,19435.0,0.9773
"V4 ",V,2456151.86069,20.509,19.647,0.149,158900.0,10930.0,-20.025,18620.0,0.9768
"V4 ",V,2456151.86305,20.401,19.539,0.131,158900.0,10930.0,-5.84,18085.0,0.9739
"V4 ",V,2456151.86488,20.66,19.799,0.217,158900.0,10930.0,-37.58,23465.0,0.9752
"V4 ",V,2456151.8654,20.28,19.418,0.149,158900.0,10930.0,11.775,22765.0,0.9738
"V4 ",V,2456151.87004,20.282,19.419,0.151,158900.0,10930.0,11.435,23025.0,0.9696
"V4 ",V,2456151.87239,20.5,19.638,0.155,158900.0,10930.0,-18.69,19245.0,0.9648
"V4 ",V,2456151.87422,20.384,19.522,0.135,158900.0,10930.0,-3.475,18620.0,0.9629
"V4 ",V,2456151.87475,20.631,19.77,0.169,158900.0,10930.0,-33.895,18575.0,0.9607
"V4 ",V,2456151.87657,20.459,19.597,0.162,158900.0,10930.0,-13.445,20840.0,0.9618
"V4 ",V,2456151.87709,20.46,19.599,0.176,158900.0,10930.0,-13.6,22495.0,0.96
"V4 ",V,2456151.87943,20.466,19.604,0.185,158900.0,10930.0,-14.31,23480.0,0.9579
"V4 ",V,2456159.83558,20.227,19.365,0.04,158900.0,10930.0,100.385,32300.0,4.8632
"V4 ",V,2456159.83703,20.252,19.389,0.041,158900.0,10930.0,81.275,32255.0,4.8732
"V4 ",V,2456159.85367,20.168,19.305,0.045,158900.0,10930.0,148.24,37695.0,4.8224
"V4 ",V,2456159.85512,20.154,19.291,0.044,158900.0,10930.0,159.69,37480.0,4.8131
"V4 ",V,2456159.8678,19.967,19.103,0.034,158900.0,10930.0,325.14,33810.0,4.675
"V4 ",V,2456159.86925,19.98,19.116,0.04,158900.0,10930.0,315.555,39155.0,4.7259
"V4 ",V,2456160.77394,20.889,20.029,0.084,158900.0,10930.0,-220.85,27055.0,3.5882
"V4 ",V,2456160.77539,20.797,19.937,0.06,158900.0,10930.0,-244.785,27775.0,4.6287
"V4 ",V,2456160.78457,20.414,19.552,0.042,158900.0,10930.0,-39.155,29450.0,4.9737
"V4 ",V,2456160.78602,20.373,19.511,0.04,158900.0,10930.0,-9.68,29300.0,4.9766
