Time,Flux,e_Flux
-2015.6718954,0.4624463459,0.0210269534
-2015.171944,0.4969681065,0.0215114391
-2014.6729909,0.4723973094,0.0210734191
-2014.172038,0.4895632612,0.0214361211
-2013.6720866,0.4473618674,0.0205995425
-2013.1731342,0.3953845924,0.020406276
-2012.672182,0.40030167,0.0195227256
-2012.1732307,0.4609632654,0.0207493488
-2011.6732768,0.4935796556,0.021158815
-2011.1723246,0.4766172937,0.020400047
-2010.6733734,0.4255553017,0.0199339447
-2010.1724206,0.4745186569,0.020587131
-2009.6724679,0.4272650948,0.020905107
-2009.1735161,0.425121922,0.0199057573
-2008.6725645,0.4516409701,0.0209931864
-2008.1736114,0.4424807746,0.0201778988
-2007.6736587,0.4886889604,0.0209788019
-2007.1727072,0.4875647671,0.020526844
-2006.673754,0.4630540099,0.0206217465
-2006.1728012,0.4431431584,0.0199136186
-2005.6728498,0.447597305,0.0205374442
-2005.1738973,0.4760118997,0.0200939666
-2004.6729451,0.4706586074,0.0202984773
-2004.1729925,0.4888370734,0.0202705488
-2003.67404,0.4606997542,0.0207073036
-2003.1730878,0.4505430336,0.0212280665
-2002.674136,0.4628478431,0.0205498515
-2002.1731838,0.5298160041,0.0211019532
-2001.6732311,0.4637797797,0.0209943467
-2001.1742786,0.4688278737,0.0216858377
-2000.6733264,0.4774486089,0.020586168
-2000.1733738,0.4388639954,0.0198986007
-1999.6744213,0.4894600683,0.0204662182
-1999.1734704,0.4867252435,0.0208113404
-1998.6745172,0.4978349175,0.0210458342
-1998.1735657,0.4704221958,0.0201032938
-1997.673613,0.4987540562,0.0209157147
-1997.1746599,0.4682858431,0.0216342771
-1996.6737083,0.5141730691,0.0214818412
-1996.1737557,0.4856072738,0.0209571248
-1995.6748032,0.4646091081,0.0205827697
-1995.173851,0.4644948549,0.0210629966
-1994.6748991,0.4684997818,0.0207406368
-1994.1749459,0.4583457927,0.0207208497
-1993.6739943,0.4762097082,0.0214442873
-1993.1750418,0.5301958843,0.0215454861
-1992.6740896,0.4815415375,0.0209199532
-1992.174137,0.4257209245,0.019524933
-1991.6751845,0.4868462476,0.0212738324
-1991.1742329,0.4751037896,0.0209814061
-1990.6752798,0.5094285661,0.0208203804
-1990.1753271,0.4797544301,0.0211337163
-1989.6743756,0.5176542408,0.0214363605
-1989.1754225,0.6455924334,0.0234742682
-1988.6744715,0.5377271851,0.0220887653
-1988.1745182,0.5906072362,0.022467567
-1987.6755664,0.5630681017,0.021576009
-1987.1746142,0.5490226189,0.0220736148
-1986.6746622,0.5403910427,0.0213640143
-1986.1757091,0.5146004909,0.0216809839
-1985.6747569,0.5322400742,0.0212235069
-1985.175805,0.512245961,0.0209773948
-1984.6758523,0.5291369956,0.0214079413
-1984.1749001,0.4963508142,0.0208808692
-1983.6759489,0.49857491,0.0202722636
-1983.1749961,0.5418221398,0.0224579718
-1982.6750428,0.5302391967,0.0217614505
-1982.1760916,0.5537548943,0.0222672346
-1981.6751388,0.5304488231,0.0219802586
-1981.1761857,0.5517593955,0.0229267709
-1980.6762343,0.4774821601,0.0214471286
-1980.1752814,0.5039627819,0.0208487276
-1977.5345337,0.4631500084,0.0221844308
-1977.0345811,0.6308772277,0.0237733094
-1976.534629,0.6347943731,0.0236406314
-1976.0346776,0.561101138,0.0234784304
-1975.534725,0.5757706104,0.0222458053
-1975.0347717,0.5218135435,0.0212781534
-1974.5348203,0.5490414267,0.0217523175
-1974.0348676,0.6186623924,0.0233513142
-1973.5349144,0.6373784356,0.0232088244
-1973.034963,0.5687746048,0.0225659755
-1972.5350103,0.5815174765,0.0222558864
-1972.0350583,0.5067357049,0.0215543211
-1971.5351063,0.5061965311,0.0223348771
-1971.0351536,0.4805325439,0.0218180781
-1970.5352016,0.5367348097,0.0219182965
-1970.0352489,0.5286459551,0.0222502548
